type,ent_ts,ent_px,qty,sl,tp,ent_idx,scale,exit_px,exit_ts,reason,pnl,equity
long,2023-05-26 09:49:00-04:00,14096.25,2.4,14014.75,14164.75,350322,2.4,14164.75,2023-05-26 10:18:00-04:00,TP,3281.424,251689.40800000002
short,2023-05-31 10:57:00-04:00,14312.25,2.5,14394.25,14253.75,354290,2.5,14253.75,2023-05-31 11:33:00-04:00,TP,2918.15,254607.55800000002
long,2023-06-01 10:39:00-04:00,14318.75,2.5,14252.0,14375.5,355652,2.5,14375.5,2023-06-01 10:46:00-04:00,TP,2830.65,257438.20800000004
long,2023-06-05 11:06:00-04:00,14661.25,2.5,14567.75,14736.75,358439,2.5,14631.25,2023-06-05 13:37:00-04:00,VWAP,-1506.85,255931.35800000004
long,2023-06-06 11:27:00-04:00,14562.5,2.5,14504.5,14618.5,359840,2.5,14562.25,2023-06-06 11:29:00-04:00,5m,-19.35,255912.00800000003
long,2023-06-06 11:30:00-04:00,14571.25,2.5,14504.5,14618.5,359843,2.5,14618.5,2023-06-06 12:00:00-04:00,TP,2355.65,258267.65800000002
long,2023-06-06 12:39:00-04:00,14569.75,2.5,14504.5,14618.5,359912,2.5,14565.75,2023-06-06 12:40:00-04:00,VWAP,-206.85,258060.80800000002
long,2023-06-06 12:43:00-04:00,14565.75,2.5,14504.5,14618.5,359916,2.5,14562.25,2023-06-06 12:44:00-04:00,VWAP,-181.85,257878.95800000004
long,2023-06-08 10:10:00-04:00,14398.0,2.5,14328.0,14466.0,362521,2.5,14466.0,2023-06-08 11:02:00-04:00,TP,3393.15,261272.10800000004
long,2023-06-09 11:10:00-04:00,14630.0,2.6,14557.0,14699.5,363961,2.6,14623.25,2023-06-09 11:16:00-04:00,VWAP,-358.124,260913.98400000003
short,2023-06-09 11:56:00-04:00,14538.25,2.6,14628.25,14485.75,364007,2.6,14598.25,2023-06-09 13:41:00-04:00,VWAP,-3127.124,257786.86000000004
long,2023-06-12 11:28:00-04:00,14638.0,2.5,14600.5,14674.5,365354,2.5,14674.5,2023-06-12 11:45:00-04:00,TP,1818.15,259605.01000000004
long,2023-06-15 09:58:00-04:00,15200.5,2.5,15114.5,15263.5,369392,2.5,15201.5,2023-06-15 09:59:00-04:00,5m,43.15,259648.16000000003
long,2023-06-15 10:01:00-04:00,15201.0,2.5,15114.5,15263.5,369395,2.5,15263.5,2023-06-15 10:27:00-04:00,TP,3118.15,262766.31000000006
short,2023-06-16 11:23:00-04:00,15349.75,2.6,15475.5,15226.5,370857,2.6,15378.5,2023-06-16 12:10:00-04:00,VWAP,-1502.124,261264.18600000005
short,2023-06-19 11:26:00-04:00,15236.75,2.6,15253.0,15221.0,372240,2.6,15241.5,2023-06-19 11:36:00-04:00,VWAP,-254.124,261010.06200000003
long,2023-06-20 09:48:00-04:00,15306.0,2.6,15204.5,15378.0,373281,2.6,15268.25,2023-06-20 09:53:00-04:00,VWAP,-1970.124,259039.93800000002
short,2023-06-20 12:14:00-04:00,15198.25,2.5,15291.25,15117.75,373427,2.5,15201.5,2023-06-20 12:19:00-04:00,5m,-169.35,258870.58800000002
long,2023-06-26 09:50:00-04:00,15104.5,2.5,15024.5,15156.5,378802,2.5,15101.25,2023-06-26 10:31:00-04:00,VWAP,-169.35,258701.238
long,2023-06-28 10:24:00-04:00,15106.25,2.5,15025.5,15177.0,381596,2.5,15177.0,2023-06-28 10:35:00-04:00,TP,3530.65,262231.88800000004
short,2023-06-29 13:42:00-04:00,15076.5,2.6,15144.75,15011.25,383174,2.6,15078.5,2023-06-29 14:59:00-04:00,EOD,-111.124,262120.76400000002
long,2023-06-30 09:47:00-04:00,15311.5,2.6,15238.5,15361.0,384317,2.6,15361.0,2023-06-30 10:19:00-04:00,TP,2566.8760000000007,264687.64
long,2023-07-03 09:48:00-04:00,15376.0,2.6,15337.25,15412.25,385698,2.6,15360.0,2023-07-03 09:55:00-04:00,VWAP,-839.124,263848.516
long,2023-07-03 09:57:00-04:00,15375.0,2.6,15337.25,15412.25,385707,2.6,15371.25,2023-07-03 09:59:00-04:00,5m,-202.124,263646.392
long,2023-07-03 10:00:00-04:00,15383.25,2.6,15337.25,15412.25,385710,2.6,15370.5,2023-07-03 10:04:00-04:00,5m,-670.124,262976.26800000004
long,2023-07-05 09:54:00-04:00,15384.5,2.6,15292.5,15471.5,387996,2.6,15373.25,2023-07-05 09:59:00-04:00,5m,-592.124,262384.14400000003
long,2023-07-05 10:02:00-04:00,15385.25,2.6,15292.5,15471.5,388004,2.6,15376.0,2023-07-05 11:17:00-04:00,VWAP,-488.124,261896.02000000002
long,2023-07-06 13:10:00-04:00,15214.5,2.6,15150.25,15278.25,389572,2.6,15248.25,2023-07-06 14:59:00-04:00,EOD,1747.876,263643.896
